#key	synopsis
ActRaiser (USA)	ActRaiser fut l'un des premiers jeux sur SNES, s'inspirant à la fois du succès des jeux de plateforme à défilement horizontal et du modèle de construction de Sim City. Vous incarnez « The Master » et devez sauver le monde du mal. Vous commencez par purifier le territoire en envoyant votre esprit dans un guerrier doté d'une grande épée et de pouvoirs magiques. Cette partie à défilement horizontal vous emmène dans de nombreux lieux différents, allant des marécages et des forêts aux pyramides et aux sommets enneigés. Au fur et à mesure que vous éliminez le mal dans différentes parties du pays, vous permettez aux villageois de revenir et de construire leurs villes. Vous contrôlez alors un ange qui aide à guider les villageois dans la construction de leur ville, et vous pouvez faire descendre des miracles pour les aider à répondre à leurs besoins.
ActRaiser 2 (USA)	Les joueurs incarnent « The Master », un esprit divin envoyé depuis les cieux, et se battent pour éradiquer le mal de la terre. Cette suite d'ActRaiser se concentre entièrement sur l'action à défilement horizontal du jeu original et propose 14 niveaux avec de nouveaux monstres, de nouvelles capacités et de nouveaux super-pouvoirs. Vous contrôlez toujours un « Cloud Palace » sur une carte du monde zoomable, en choisissant votre prochaine zone de combat. De plus, de nombreux effets sonores du jeu original font leur retour, ainsi que certains éléments de RPG cachés.
Addams Family Values (USA) (En,Fr,De)	La méchante Debbie Jelinksi s'en prend une nouvelle fois à la famille Addams… Elle a kidnappé Bébé Pubert, et c'est à l'oncle Fester qu'il revient de le retrouver et de le ramener dans les bras de sa famille aimante. Le jeu s'inspire du film en prise de vues réelles du même nom. Addams Family Values est un jeu d'action-aventure comportant de légers éléments de RPG (vous gagnez des points de vie au fur et à mesure que vous progressez dans le jeu, vous pouvez améliorer votre équipement et vos attaques spéciales). Vous contrôlez Fester en le déplaçant, en combattant des ennemis ordinaires et des boss, en parlant aux membres de la maisonnée Addams et, parfois, en résolvant des énigmes. Le combat est de l'action pure, à la manière de Zelda.
Addams Family, The (USA)	L'histoire se situe vers la fin du film La Famille Addams alors que la famille est expulsée de son manoir par un avocat zélé. Comme si cela ne suffisait pas, on apprend que Morticia, Pugsley, Mercredi et les autres ont disparu ! Vous incarnez donc Gomez, seul rescapé, qui partira à la recherche de sa famille et affrontera tous ses ennemis jusqu'au dernier : l'avocat !
Addams Family, The - Pugsley's Scavenger Hunt (USA)	The Addams Family : Pugsley's Scavenger Hunt est un jeu de plates-formes sur Super Nintendo. Inspiré de l'univers délirant de la Famille Addams, ce jeu vous met dans la peau de Pugsley, le fils de Gomez et de Morticia. Plusieurs membres de la famille ont été faits prisonniers dans le manoir et il ne tient qu'à vous de fouiller les lieux pour les libérer. Il est d'ailleurs possible d'explorer les pièces dans n'importe quel ordre !
Advanced Dungeons & Dragons - Eye of the Beholder (USA)	Eye of the Beholder sur Super NES est un jeu de rôle consistant en l'exploration de souterrains infestés de créatures maléfiques. Le scénario démarre alors que la ville d'Eauprofonde connaît des problèmes d'égouts infestés de créatures en tout genre. Le prince de la cité fait appel à quatre valeureux héros pour enquêter sur ce mystère. La progression du jeu consiste en l'exploration de souterrains de plus en plus profonds.
Adventures of Batman & Robin, The (USA)	Vous dirigez le justicier masqué de Gotham dans une série de missions au cours desquelles vous rencontrerez les plus grands ennemis de Batman. A vous de défaire leurs plans en combattant leurs sbires à l'aide de vos gadgets.
Adventures of Dr. Franken, The (USA)	Vous incarnez Franky, le monstre de Frankenstein, dans une version cartoon et humoristique. Le but de l'aventure sera de récupérer tous les morceaux du corps de la petite amie de Franky, dispersés aux quatre coins du monde. Le jeu vous propose des phases d'Action/Plateforme dans lesquelles notre héros doit récupérer divers objets afin de passer au niveau suivant, tout en éliminant des ennemis avec ses coups de pieds.
Adventures of Rocky and Bullwinkle and Friends, The (USA)	The Adventures of Rocky and Bullwinkle and Friends sur Super Nintendo est un jeu de plates-formes basé sur l'univers du dessin animé du même nom. Les vils Boris et Natasha on réussi à s'emparer d'objets précieux du Musée Frostbite Falls et nos deux héros doivent tout faire pour les rattraper. En plus des niveaux de plates-formes, plusieurs mini-jeux parsèment l'aventure tandis que d'autres personnages de la série font leur apparition.
Adventures of Yogi Bear (USA)	Dans ce jeu de plates-formes à niveaux multiples, Yogi se réveille après des mois d'hibernation pour découvrir que les travaux de construction d'une usine de produits chimiques ont commencé au cœur du parc de Jellystone. Yogi doit alerter le Ranger Smith, mais sa mission se transforme en une aventure hilarante, sur les cinq terrains différents du parc de Jellystone.
