#key	name	year	genre	developer	players
Twisted Edge - Extreme Snowboarding (USA)	Twisted Edge : Extreme Snowboarding	1998	Sports / Skiing/Sports	Boss Game	1-2
Utchan Nanchan no Hono no Challenger - Denryuu Ira Ira Bou (Japan)	Utchan Nanchan no Hono no Challenger : Denryuu Ira Ira Bou	1997	Puzzle	Yuke's	1-4
V-Rally Edition 99 (USA)	V-Rally Edition '99	1999	Racing, Driving	Eden	1-2
Viewpoint 2064 (Japan) (Proto) (2000-04-13)	Viewpoint 2064	2001	Shoot'em Up / Vertical/Shoot'em Up	Racdym	1
Vigilante 8 (USA)	Vigilante 8	1999	Shooter/Shooter / Vehicle, TPV	Luxoflux	1-4
Vigilante 8 - 2nd Offense (USA)	Vigilante 8 : 2nd Offense	2000	Racing, Driving	Luxoflux	1-4
Virtual Chess 64 (USA) (En,Fr,Es)	Virtual Chess 64	1998	Board game	Titus	1-4
Virtual Pool 64 (USA)	Virtual Pool 64	1998	Sports / Pool/Sports	Celeris	1-2
Virtual Pro Wrestling 2 - Oudou Keishou (Japan)	Virtual Pro Wrestling 2 : Oudou Keishou	2000	Sports / Wrestling/Sports	Asmik	1-4
Virtual Pro Wrestling 64 (Japan)	Virtual Pro Wrestling 64	1997	Sports / Wrestling/Sports	AKI	1-4
Waialae Country Club - True Golf Classics (USA)	Waialae Country Club : True Golf Classics	1998	Sports / Golf/Sports	T&E Soft	1-4
War Gods (USA)	War Gods	1997	Fighting / Versus/Fighting	Eurocom	1-2
Wave Race 64 - Kawasaki Jet Ski (USA)	Wave Race 64	1996	Sports / Water/Sports	Nintendo	1-2
Wayne Gretzky's 3D Hockey '98 (USA)	Wayne Gretzky's 3D Hockey '98	1997	Sports / Hockey/Sports	Software Creations	1-4
Wayne Gretzky's 3D Hockey (USA)	Wayne Gretzky's 3D Hockey	1996	Sports / Hockey/Sports	Midway	1-4
WCW Backstage Assault (USA)	WCW Backstage Assault	2000	Sports/Sports / Wrestling	Kodiak Interactive	1-2
WCW Mayhem (USA)	WCW Mayhem	1999	Sports / Wrestling/Sports	Kodiak Interactive	1-4
WCW Nitro (USA)	WCW Nitro	1999	Sports / Wrestling/Sports	Inland Productions	1-4
WCW vs. nWo - World Tour (USA)	WCW vs. nWo World Tour	1997	Sports / Wrestling/Sports	AKI Corporation	1-4
WCW-nWo Revenge (USA)	WCW nWo Revenge	1998	Sports / Wrestling/Sports	AKI Corporation	1-4
Wetrix (USA) (En,Fr,De,Es,It,Nl)	Wetrix	1998	Puzzle	Zed Two	1-2
Wheel of Fortune (USA)	Wheel of Fortune	1997	Quiz / English/Quiz	GameTek	1-3
Wildwaters (USA) (1999-06-15) (Proto)	Wildwaters	1999	Racing, Driving	Looking Glass	1-2
WinBack - Covert Operations (USA)	WinBack : Covert Operations	1999	Shooter / TPV/Shooter	OMEGA Force	1-4
Wipeout 64 (USA)	WipEout 64	1998	Racing, Driving	Psygnosis	1-4
Wonder Project J2 - Koruro no Mori no Jozet (Japan)	Wonder Project J2 : Koruro no Mori no Jozet	1996	Simulation	Givro	1
World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv,Da)	World Cup 98	1998	Sports / Football (Soccer)/Sports	EA Sports	1-4
World Driver Championship (USA)	World Driver Championship	1999	Racing, Driving	Boss Game	1-2
Worms Armageddon (USA) (En,Fr,Es)	Worms Armageddon	2000	Strategy	Infogrames	1-4
WWF Attitude (USA)	WWF Attitude	1999	Sports / Fighting/Sports	Acclaim Entertainment	1-4
WWF No Mercy (USA)	WWF No Mercy	2000	Sports / Fighting/Sports	AKI Corporation	1-4
WWF War Zone (USA)	WWF War Zone	1998	Sports / Fighting/Sports	Iguana Entertainment	1-4
WWF WrestleMania 2000 (USA)	WWF WrestleMania 2000	1999	Sports / Fighting/Sports	AKI Corporation	1-4
X'treme Roller (USA) (Proto)	X'treme Roller		Sports / Extreme/Sports	Titus Software	1
Xena - Warrior Princess - The Talisman of Fate (USA)	Xena : Warrior Princess - The Talisman of Fate	1999	Fighting	Saffire	1-4
Yakouchuu II - Satsujin Kouro (Japan)	Yakouchuu II : Satsujin Kouro	1999	Adventure	Athena	1
Yoshi's Story (USA) (En,Ja)	Yoshi's Story	1998	Action/Action / Adventure	Nintendo	1
Zool - Majuu Tsukai Densetsu (Japan)	Zool : Majuu Tsukai Densetsu	1999	Role Playing Game	Pandora Box	1
