#key	name	year	genre	developer	players
Mahjong Master (Japan)	Mahjong Master	1996	Asiatic board game/Mahjong	Konami	1-4
Major League Baseball Featuring Ken Griffey Jr. (USA)	Major League Baseball Featuring Ken Griffey Jr.	1998	Sports / Baseball/Sports	Angel	1-2
Mario Golf (USA)	Mario Golf	1999	Sports / Golf/Sports	Camelot Software Planning	1-4
Mario Kart 64 (USA)	Mario Kart 64	1997	Racing, Driving	Nintendo	1-4
Mario no Photopie (Japan)	Mario no Photopi	1998	Various	Datt Japan	1
Mario Party (USA)	Mario Party	1999	Board game	Hudson Soft	1-4
Mario Party 2 (USA)	Mario Party 2	2000	Board game	Hudson Soft	1-4
Mario Party 3 (USA)	Mario Party 3	2001	Board game	Hudson Soft	1-4
Mario Tennis (USA)	Mario Tennis	2000	Sports / Tennis/Sports	Camelot Software Planning	1-4
Mega Man 64 (USA)	Mega Man 64	2001	Action / Adventure/Action	Capcom	1
Mia Hamm Soccer 64 (USA) (En,Es)	Mia Hamm Soccer 64	2000	Sports / Football (Soccer)/Sports	Silicon Dreams	1-4
Mickey's Speedway USA (USA)	Mickey's Speedway USA	2000	Racing, Driving	Rareware	1-4
Micro Machines 64 Turbo (USA)	Micro Machines 64 Turbo	1999	Racing, Driving	Codemasters	1-4
Midway's Greatest Arcade Hits - Volume 1 (USA)	Midway's Greatest Arcade Hits : Volume 1	2000	Compilation	Digital Eclipse	1
Mike Piazza's Strike Zone (USA)	Mike Piazza's StrikeZone	1998	Sports / Baseball/Sports	Devil's Thumb Entertainment	1-2
Milo's Astro Lanes (USA)	Milo's Astro Lanes	1998	Sports / Bowling/Sports	Player 1	1-4
Mini Racers (USA) (Ja) (Proto)	Mini Racers	1999	Racing, Driving	Looking Glass	1-4
Mischief Makers (USA)	Mischief Makers	1997	Platform / Run & Jump/Platform	Treasure	1
Mission - Impossible (USA)	Mission : Impossible	1998	Adventure	Infogrames	1
Monaco Grand Prix (USA)	Monaco Grand Prix	1999	Racing, Driving	Ubi Soft Entertainment	1-2
Monopoly (USA)	Monopoly	1999	Board game	Minds Eye	1-4
Monster Truck Madness 64 (USA)	Monster Truck Madness 64	1999	Racing, Driving	Edge of Reality	1-4
Morita Shougi 64 (Japan)	Morita Shougi 64	1998	Asiatic board game/Shougi	SETA	1-4
Mortal Kombat 4 (USA)	Mortal Kombat 4	1998	Fighting / Versus/Fighting	Eurocom	1-2
Mortal Kombat Mythologies - Sub-Zero (USA)	Mortal Kombat Mythologies : Sub-Zero	1997	Action / Adventure/Action	Avalanche Software	1
Mortal Kombat Trilogy (USA)	Mortal Kombat Trilogy	1996	Fighting / 2D/Fighting	Midway	1-2
MRC - Multi-Racing Championship (USA)	MRC: Multi-Racing Championship	1997	Racing, Driving	Genki	1-2
Ms. Pac-Man - Maze Madness (USA)	Ms. Pac-Man : Maze Madness	2000	Action / Labyrinth/Action	Namco	1-4
Mystical Ninja Starring Goemon (USA)	Mystical Ninja Starring Goemon	1998	Action / Adventure/Action	Konami	1
Nagano Winter Olympics '98 (USA)	Nagano Winter Olympics '98	1998	Sports / Multisports/Sports	Konami	1-4
Namco Museum 64 (USA)	Namco Museum 64	1999	Compilation	Mass Media	1-2
NASCAR 2000 (USA)	NASCAR 2000	1999	Racing, Driving	Stormfront Studios	1-2
NASCAR 99 (USA)	NASCAR 99	1998	Racing, Driving	Stormfront Studios	1-2
NBA Courtside 2 featuring Kobe Bryant (USA)	NBA Courtside 2 featuring Kobe Bryant	1999	Sports / Basketball/Sports	Left Field Productions	1-4
NBA Hangtime (USA)	NBA Hangtime	1997	Sports / Basketball/Sports	Funcom	1-4
NBA in the Zone '98 (USA)	NBA In The Zone '98	1998	Sports / Basketball/Sports	Konami	1-4
NBA in the Zone '99 (USA)	NBA In The Zone '99	1999	Sports / Basketball/Sports	Konami	1-4
NBA in the Zone 2000 (USA)	NBA In The Zone 2000	2000	Sports / Basketball/Sports	Konami	1-4
NBA Jam 2000 (USA)	NBA Jam 2000	1999	Sports / Basketball/Sports	Acclaim Entertainment	1-4
NBA Jam 99 (USA)	NBA Jam 99	1998	Sports / Basketball/Sports	Iguana Entertainment	1-4
NBA Live 2000 (USA) (En,Fr,De,Es)	NBA Live 2000	1999	Sports / Basketball/Sports	NuFX	1-4
NBA Live 99 (USA) (En,Fr,De,Es,It)	NBA Live 99	1998	Sports / Basketball/Sports	NuFX	1-4
NBA Showtime - NBA on NBC (USA)	NBA Showtime : NBA on NBC	1999	Sports / Basketball/Sports	Eurocom	1-4
Neon Genesis Evangelion (Japan)	Neon Genesis Evangelion	1999	Fighting	BEC	1-2
New Tetris, The (USA)	The New Tetris	1999	Puzzle / Fall/Puzzle	H2O Interactive	1-4
NFL Blitz (USA)	NFL Blitz	1997	Sports / Football (American)/Sports	Midway	1-2
NFL Blitz - Special Edition (USA)	NFL Blitz : Special Edition	2001	Sports / Football (American)/Sports	Point of View	1-4
NFL Blitz 2000 (USA)	NFL Blitz 2000	1999	Sports / Football (American)/Sports	Midway	1-4
NFL Blitz 2001 (USA)	NFL Blitz 2001	2000	Sports / Football (American)/Sports	Midway	1-4
NFL QB Club 2001 (USA)	NFL QB Club 2001	2000	Sports / Football (American)/Sports	High Voltage	1-4
NFL Quarterback Club 2000 (USA)	NFL Quarterback Club 2000	1999	Sports / Football (American)/Sports	Acclaim Entertainment	1-4
NFL Quarterback Club 98 (USA)	NFL Quarterback Club 98	1997	Sports / Football (American)/Sports	Iguana Entertainment	1-4
NFL Quarterback Club 99 (USA)	NFL Quarterback Club 99	1998	Sports / Football (American)/Sports	Iguana Entertainment	1-4
NHL 99 (USA)	NHL 99	1998	Sports / Hockey/Sports	MBL Research	1-4
NHL Blades of Steel '99 (USA)	NHL Blades of Steel '99	1999	Sports / Hockey/Sports	Konami	1-4
NHL Breakaway 98 (USA)	NHL Breakaway 98	1998	Sports / Hockey/Sports	Iguana Entertainment	1-4
NHL Breakaway 99 (USA)	NHL Breakaway 99	1998	Sports / Hockey/Sports	Iguana Entertainment	1-4
Nightmare Creatures (USA)	Nightmare Creatures	1998	Action / Adventure/Action	Kalisto	1
Nintama Rantarou 64 Game Gallery (Japan)	Nintama Rantarou 64 Game Gallery	2000	Puzzle	Culture Brain	1-4
Nuclear Strike 64 (USA)	Nuclear Strike 64	1999	Shooter / Plane, TPV/Shooter	Pacific Coast Power & Light	1
Nushi Zuri 64 (Japan)	Nushi Zuri 64	1998	Fishing/Hunting and Fishing	Pack In Video	1
Nushi Zuri 64 - Shiokaze ni Notte (Japan)	Nushi Zuri 64 : Shiokaze ni Notte	2000	Fishing/Hunting and Fishing	Pack-In-Video	1
O.D.T. (USA) (En,Fr,Es) (Proto)	O.D.T.	1999	Shooter	Psygnosis	1-2
Off Road Challenge (USA)	Off Road Challenge	1998	Racing, Driving	Avalanche Software	1-2
Ogre Battle 64 - Person of Lordly Caliber (USA)	Ogre Battle 64 : Person of Lordly Caliber	2000	Tactical RPG/Role Playing Game	Quest	1
Olympic Hockey 98 (USA)	Olympic Hockey '98	1998	Sports / Hockey/Sports	Treyarch	1-4
Onegai Monsters (Japan)	Onegai Monsters	1999	Role Playing Game	Bottom Up Interactive	1
Pachinko 365 Nichi (Japan)	Pachinko 365 Nichi	1998	Casino	SETA	1
Paper Mario (USA)	Paper Mario	2001	Role Playing Game	Intelligent Systems	1
Paperboy (USA)	Paperboy	1999	Sports / Cycling/Sports	High Voltage	1
Parlor! Pro 64 - Pachinko Jikki Simulation Game (Japan)	Parlor! Pro 64 : Pachinko Jikki Simulation Game	1999	Casino	Irem	1
PD Ultraman Battle Collection 64 (Japan)	PD Ultraman Battle Collection 64	1999	Role Playing Game	Bandai	1
Penny Racers (USA)	Penny Racers	1999	Racing, Driving	Locomotive	1-4
Perfect Dark (USA)	Perfect Dark	2000	Shooter / FPV/Shooter	Rareware	1-4
PGA European Tour (USA)	PGA European Tour	2000	Sports / Golf/Sports	Infogrames	1-4
Pilotwings 64 (USA)	Pilotwings 64	1996	Racing, Driving/Racing, Driving / Plane	Nintendo	1
Pokemon Puzzle League (USA)	Pokémon Puzzle League	2000	Puzzle	Nintendo	1-2
Pokemon Snap (USA)	Pokémon Snap	1999	Shooter / Vehicle, FPV/Shooter	HAL Laboratory	1
Pokemon Stadium (Japan)	Pocket Monsters Stadium	1998	Strategy	HAL Laboratory	1-2
Pokemon Stadium (USA)	Pokémon Stadium	2000	Fighting/Strategy	HAL Laboratory	1-4
Pokemon Stadium 2 (USA)	Pokémon Stadium 2	2001	Fighting/Strategy	HAL Laboratory	1-4
Polaris SnoCross (USA)	Polaris SnoCross	2000	Racing, Driving	Vicarious Vision	1-4
Power League 64 (Japan)	Power League 64	1997	Sports / Baseball/Sports	Hudson Soft	1-2
Power Rangers - Lightspeed Rescue (USA)	Saban's Power Rangers : Lightspeed Rescue	2000	Beat'em Up	Mass Media	1-2
Powerpuff Girls, The - Chemical X-Traction (USA)	The Powerpuff Girls : Chemical X-Traction	2001	Beat'em Up	VIS Entertainment	1-2
Premier Manager 64 (Europe)	Premier Manager 64	1999	Sports / Football (Soccer)/Sports	Gremlin Interactive	1
Pro Mahjong Kiwame 64 (Japan)	Pro Mahjong Kiwame 64	1997	Asiatic board game/Mahjong	Athena	1
Pro Mahjong Tsuwamono 64 - Jansou Battle ni Chousen (Japan)	Pro Mahjong Tsuwamono 64 : Jansou Battle ni Chousen	1999	Asiatic board game/Mahjong	Culture Brain	1-4
Puyo Puyo Sun 64 (Japan)	Puyo Puyo Sun 64	1997	Puzzle / Fall/Puzzle	Compile	1-2
Puyo Puyoon Party (Japan)	Puyo Puyo 4 : Puyo Puyon Party	1999	Puzzle / Fall/Puzzle	Compile	1-4
Quake (USA)	Quake	1998	Shooter / FPV/Shooter	Midway	1-2
Quake II (USA)	Quake II	1999	Shooter / FPV/Shooter	Raster Productions	1-4
Quest 64 (USA)	Quest 64	1998	Role Playing Game	Imagineer	1
Rakugakids (Europe)	Rakuga Kids	1998	Fighting / Versus/Fighting	KCET	1-2
Rally Challenge 2000 (USA)	Rally Challenge 2000	2000	Racing, Driving	Genki	1-4
Rampage - World Tour (USA)	Rampage : World Tour	1998	Beat'em Up	Saffire	1-3
Rampage 2 - Universal Tour (USA)	Rampage 2 : Universal Tour	1999		Avalanche Software	1-3
Rat Attack! (USA)	Rat Attack!	2000	Puzzle	Pure Entertainment	1-4
Rayman 2 - The Great Escape (USA) (En,Fr,De,Es,It)	Rayman 2 : The Great Escape	1999	Platform	Ubi Soft Entertainment	1
Razor Freestyle Scooter (USA)	Razor Freestyle Scooter	2001	Sports	Titanium	1-2
Re-Volt (USA)	Re-Volt	1999	Racing, Driving	Acclaim Entertainment	1-4
Ready 2 Rumble Boxing (USA)	Ready 2 Rumble Boxing	1999	Sports / Boxing/Sports	Point of View	1-2
