#key	synopsis
All-Star Baseball 2001 (USA)	The last All-Star Baseball on the N64 once again includes some new features as well as improvements to previous play modes and options. For 2001, a new team is included, The Coopertown Legends, featuring a selection of some of the finest players to every grace the MLB, including Yogi Berra, Willie Stargell and Reggie Jackson. Along with the legends team, you can choose from every player, team and stadium in the 2000 MLB season. Each player includes realistic facial expressions and looks, plus motion captured player movements, batting stances and reactions to key events during play.
All-Star Baseball 99 (USA)	All-Star Baseball is a baseball video game series developed and published by Acclaim Entertainment. The series began in 1998 with the release of All-Star Baseball '99. All 30 Major League Baseball teams feature in the first All-Star Baseball title. Game modes include Training, Season, Playoff, World Series, plus an All-Star Match, Home Run Derby and MLB trivia. 100 different batting styles are featured, as well as motions such as sliding catches, base collisions, kneeling throws and broken bats. It's also possible to sign up and trade players from all around the league and creating your own team from the entire 700-player roster. And if a player fitting your demands doesn't exist, you can use the Create a Player mode for further versatility.
Armorines - Project S.W.A.R.M. (USA)	Simply put, you have two Armorines to play as, each with their own selection of weapons. You must fight to the death against bugs of all sizes, as you attempt to destroy the enemies chance of eliminating human civilization as we know it (in the not to distant future, of course). This game uses the Turok 2 engine, and has similar themes and elements to the movie Starship Troopers.
Army Men - Air Combat (USA)	Choosing a chopper among the Huey, Chinook, Super Stallion, or Apache, the player will have to rescue or provide air support to fellow Army Men, while shooting down anything that moves (including enemy helicopters and troops, as well as hordes of insects) across 16 different missions.
Army Men - Sarge's Heroes (USA)	In Army Men: Sarge's Heroes you play as Sarge, the protagonist from many of the Army Men games. Tan Army is invading the Green Army base; Sarge rescues Colonel Grimm and they evacuate the base in a helicopter. Sarge discovers portals that lead from the &quot;plastic world&quot; to the &quot;real world&quot; and that the Tan Army is trying to acquire &quot;Weapons of Mass Destruction&quot; from the &quot;real world&quot; , for example toys and ordinary objects like magnifying glass. To avoid the destruction of the Green Army, Sarge has to rescue commandos of his own unit, Bravo Company, to destroy vehicles & portals and finally stop the evil general Plastro.
Army Men - Sarge's Heroes 2 (USA)	Sarge's Heroes 2 starts where Sarge's Heroes left off. It is announced that the capture of Field Marshal Tannenberg will end the war. Since General Plastro has disappeared, it is suggested that he has become a victim of plastrification and been trapped in the real world. The game introduces Bridgette Bleu, a spy for the Blue Nation. She has developed a serum that reverses plastrification. Your job as Sarge and sometimes Vikki is to destroy the serum, eliminate Tan soldiers, and capture Plastro and Tannenburg.
Asteroids Hyper 64 (USA)	An updated version of the classic arcade blast 'em up features full 3D environments, all new weapons and defense systems and a 2 player split-screen mode. The gameplay, however, is exactly the same. Pilot a spacecraft and destroy the on-coming asteroids, each of different sizes. Alien ships and black holes are also out there, along with ship upgrades that update your ships weapons and defense systems.
Automobili Lamborghini (USA)	Automobili Lamborghini is one of the earlier racing games for the Nintendo 64, developed by Titus. 8 cars are included in this game, among them the Lamborghini Diablo, Porsche 959, Ferrari F50 and some hidden ones. The courses are quite detailed and the effects are decent, including special effects like lens flares. Races take you through six circuits in exotic areas around the world. There are 4 modes in Single Player including Arcade Mode, Championship Mode, Single Race and Time Trials. The game also includes 4 player support.
Bakuretsu Muteki Bangaioh (Japan)	Ever wanted to just unleash the ultimate weapon? Blow up 500 enemies at once? Cause the ultimate amount of mayhem ever? In true Treasure fashion...you just got that power! As the pilots of the Bangaioh mech, you've got to stop a mad group from taking over the world by giving them a little dose of insane destruction. Wanna just be crazy and let them kill you? Go ahead...just hit that trigger before it happens... The Nintendo 64 version was only released in Japan. The Dreamcast version exists in the U.S. and Europe.
Bakushou Jinsei 64 - Mezase! Resort Ou (Japan)	Bakushō Jinsei 64: Mezase! Resort Ō is a board game based on the Japanese board game Jinsei Game. It is an adaption of the Western Game of Life, but the game has more similarities to Monopoly. It is primarily aimed at multiple players and focuses on the financial success of the participants. After choosing one of the playing boards, the players throw their dices in turns. Then the player moves forward on the board by a distance depending on the result of the dice throw. Each field represents a business or lot which can be bought if the player has enough money at hand. If another player lands on the same field, a rent has to be payed up. This all influences the stock value of the player's company.
