#key	synopsis
Banjo-Kazooie (USA)	Banjo-Kazooie's fairy tale back story is reminiscent of Snow White's. A gnarled, ugly witch named Gruntilda asks her magical cauldron who is the fairest of them all. Of course, the pot's answer doesn't please the hag-- he singles out Banjo's sister, Tooty. When Tooty turns up missing, Banjo and his birdie buddy Kazooie set out to find her. The worlds in Banjo-Kazooie are gigantic, and chock full of crazy items to collect. Musical Notes, Puzzle Pieces (&quot;Jiggies&quot;), Mumbo Tokens, and Jinjoes are just some of the swag that Banjo must stuff in his backpack to complete his adventure. While some of the necessary items are simply stashed off the beaten path, others will require puzzle solving skills to turn up.
Banjo-Tooie (USA)	After two years under the rock, Gruntilda is finally set free from her death bed by her two sisters. As nothing but a skeleton, Grunty and her sisters plan a way of curing her looks by sucking the life out of the land so as to restore her body to its old self. On hearing this news, our two champs Banjo and Kazooie with the aid of Mumbo set out to stop the evil plan and seek revenge for the passing away of Bottles the mole. In this sequel to Banjo-Kazooie, you can play as the two main characters (as well as Mumbo) just like before, although they can now separate, helping them get to even harder areas of the land. You must collect jiggies to open new areas (much like the original) as well as learn 40 new moves to help you get along. And much like another Rareware title, Donkey Kong 64, you can play four-player minigames that range from first-person shooters, bumper cars, battle for points, etc..
Bass Rush - ECOGEAR PowerWorm Championship (Japan)	Bass Rush: ECOGEAR Powerworm Championship is a fishing game that allows players to compete in a thrilling fishing tournament. Players can choose their character from a diverse group of experienced fishermen and head out to various fishing locations to compete against other fishermen. The game features a variety of fishing modes, including Tournament, Practice, and Time Attack. In Tournament mode, players compete against other fishermen to catch the biggest fish and win the championship. Practice mode allows players to hone their fishing skills, while Time Attack mode challenges players to catch as many fish as possible within a set time limit. The game features a range of fishing equipment and lures, including the ECOGEAR Powerworm, a special lure designed to attract large bass. Players can choose the right bait, rod, and line for each fishing location to maximize their chances of catching big fish.
Bassmasters 2000 (USA)	BassMasters 2000 is a fishing simulation game which counts a total of 4 modes and has a wide variety of customizable options. You can create and save up to 7 anglers through the “Create Angler” option and customize stats such as sex, hair, face, clothes, etc. Other customizable options include “Lake Conditions” (lake location, season, weather, time, etc.), “Boat” (boat model, engine, etc.) and “Tackle” (rod/reel, line, lure, etc.). These are the following modes: 1. Exhibition 2. Tournament 3. Speed Fishing 4. Casting Game
Batman Beyond - Return of the Joker (USA)	Based off the movie, Batman Beyond puts the player on the streets of Gotham (Beyond) to take out the ever-grinning Joker, but before that an obvious long line of his evil minions - some of which are genetically engineered. Scroll around, punch, kick, play with bat-weapons, and avoid being on the receiving end of those attacks. There are multiple 'bat suits' that you can choose from, each with their own special abilities and purposes. Mostly a 3-D beat-the-living-sunshine-out-of-whatever-moves type.
BattleTanx (USA)	Mission based tank shooter game set in the post-apocalyptic future; fight through single-player campaign levels based in U.S. cities against multitudes of gangs with their own tanks and heavy firepower. The game has a large multiplayer component, allowing up to 4 players at once, with or without teams, AI opponents, and in several gameplay styles, including a standard deathmatch and a capture-the-flag style game.
BattleTanx - Global Assault (USA)	The year is 2006. The world has become a post-apocalyptic wasteland. While Griffin and Madison struggle to rebuild society, they realize their young son possesses telekinetic powers that are the key to the future. But the evil QueenLord, Cassandra, plans to use the boy's powers for her own wicked scheme. With only armored tanks at your command, you must defeat the QueenLord and the sinister gangs under her control. Combat will lead you to foreign soil, where it's all-out global warfare!
Battlezone - Rise of the Black Dogs (USA)	Exploit secret alien technology as you beat the Americans and Soviets at their own game in this action-packed, cold war thriller! Battlezone: Rise of the Black Dogs features advanced space-based tank combat, sniper capability and death-match intensity. With three modes of play, Battlezone gives you the power to define your combat experience - the only remaining question is how long you'll be around to use it.
Beetle Adventure Racing! (USA) (En,Fr,De)	Take control of a collection of the latest Volkswagen Beetle &quot;2.0&quot; models (from street type to off-road designs) and race across varying road types that will test your speed and endurance (each track taking up to 4 minutes to complete from one end to another). Find shortcuts or use nitro boosts to get to the end first in order to move on to the next track. If the computer AI is to easy for you, battle against a friend in two player race mode. Up to 4 people can also play a special Battle Mode challenge, with added abilities including weapons (from mines and rockets to magical elements) while collecting the flag and finding the exit.
Big Mountain 2000 (USA)	Big Mountain 2000 is a sports game where you can choose to race with either a snowboard or a pair of skis. There are six characters (plus three unlockable) to choose from, each with different skills and three modes in total —two of them are single-player and the other one is a multiplayer one.* Championship: in Championship you can select one of the available players and choose the style you want —ski or snowboard. You can also change each player's equipment which includes ski/snowboard and clothes. The game also lets you choose in which stage you want to compete and the race type you want to play. Race Type includes three options —Free Ride, Slalom and Giant Slalom. In Free Ride you compete against 3 CPU-controlled players, you must finish first and before time, which is increased at every checkpoint, runs out. In Slalom and Giant Slalom you must pass through the flags that are scattered throughout the course and again like in Free Ride finish first. The differences between Slalom and Giant Slalom are the latter's course being wider and presenting less flags. By successfully completing any of the above your character's skills — like cornering, acceleration, etc. — are increased.
